age,monthly_income,rent,food,transport,other_expenses,total_expenses,monthly_savings,health_score
42,86609,14287,13444,9221,10186,47138,40678,85
35,54259,12896,9604,3669,7638,33807,21503,75
23,17365,4445,2663,1869,2135,11112,6616,65
32,53017,18400,6122,2967,6550,34039,19999,75
39,45352,8308,5019,5017,2630,20974,23223,90
51,132594,22923,15817,11262,11395,61397,73947,100
36,49446,7502,4932,3498,6716,22648,24180,90
48,101813,18439,10358,6980,7458,43235,59690,100
54,86021,16469,15043,6902,5294,43708,43901,85
45,104131,28752,13137,12488,8602,62979,41962,80
36,63340,12284,8381,4143,4563,29371,32865,95
51,62828,9682,9504,3595,8954,31735,29602,85
38,36171,11405,5453,3289,4948,25095,12288,70
26,18216,4064,1604,1533,1821,9022,7772,85
50,51401,11346,9241,4456,2885,27928,21352,85
25,17113,3602,1733,1654,2078,9067,7208,75
31,74629,25752,12445,5127,8383,51707,25836,75
38,75232,13844,12994,8557,11063,46458,27346,75
31,51008,16814,8456,4105,5401,34776,14880,65
38,31633,9659,4728,1867,2645,18899,14473,80
41,69611,11506,5690,7097,7093,31386,36584,95
45,93791,32577,11559,8911,13874,66921,28301,65
26,38446,7853,5866,2772,4599,21090,17325,80
27,18374,3118,2324,1718,2153,9313,10021,75
23,21430,6768,3934,1401,1587,13690,8551,65
34,47921,13961,5609,3888,5959,29417,19746,70
32,44357,12129,5110,5010,5545,27794,17780,70
44,53866,9760,6028,3196,4402,23386,27560,95
37,33137,8141,3974,2553,3259,17927,14942,80
52,94724,28996,13913,10180,7526,60615,33818,75
32,41407,8725,6825,4880,3141,23571,17258,80
37,60575,12862,9662,4953,3185,30662,30554,85
29,37281,5615,6595,3187,2927,18324,20556,90
25,26083,4821,4859,2348,2749,14777,8973,75
25,28149,9150,5008,3244,1411,18813,8832,65
46,70447,16790,5795,7754,5517,35856,35090,85
24,24472,8488,4118,1515,3380,17501,7469,55
53,67908,15560,7130,5471,7426,35587,30765,85
24,30635,8977,2939,2526,3393,17835,11145,80
48,90992,18779,14251,9575,8219,50824,38357,85
50,105350,23467,12470,9713,12394,58044,50022,90
53,119561,22494,10384,11453,8248,52579,69750,100
40,101955,22370,9840,12221,13445,57876,41537,90
42,111240,28860,8911,6145,6860,50776,58676,100
26,31959,11133,6020,2096,3694,22943,10575,60
39,67823,19183,5626,5327,5704,35840,29894,85
49,96607,18340,10156,7182,12051,47729,46903,95
43,83487,13273,10849,4300,8764,37186,45712,95
42,105668,18520,12974,5962,10063,47519,55220,100
27,18178,4771,3443,1775,1216,11205,9519,65
22,37436,11344,3175,4176,4255,22950,14171,70
26,34118,11534,4826,2934,5031,24325,7986,50
33,43171,6612,6978,3787,5722,23099,18920,80
47,114110,29046,21886,7743,6390,65065,48429,90
35,35774,8735,5525,3711,3134,21105,13691,80
47,70936,19947,12516,7279,10112,49854,21823,65
48,54426,14255,4900,4962,5459,29576,26957,85
30,60932,17512,7696,3953,7080,36241,26439,85
47,77606,21855,9690,4407,10962,46914,28990,75
43,97832,16964,18231,5331,13440,53966,44968,85
51,78151,24222,7671,7149,7829,46871,29184,85
38,30781,5375,3023,3316,2886,14600,16207,90
47,61308,17761,7321,6748,5147,36977,23359,75
22,32340,7542,2798,2666,3942,16948,17103,80
29,16939,4281,1725,1776,1333,9115,10793,75
36,48489,16033,9495,5638,3636,34802,13307,50
43,144108,47264,18933,9981,12339,88517,55237,80
35,59118,18537,9213,4602,4003,36355,24628,75
47,142769,35982,23861,16447,17062,93352,48706,80
49,137265,40801,17025,10113,15322,83261,56666,80
44,81131,20492,7923,9246,7974,45635,36368,85
35,43565,14111,4565,5169,3878,27723,14327,70
45,83870,19336,9862,8078,11817,49093,34928,85
23,35677,12274,5577,3823,1887,23561,10556,60
47,108585,36535,13876,11126,13780,75317,31033,70
35,53648,16004,4335,5309,7520,33168,21959,75
28,21980,4525,3138,1571,2080,11314,10104,75
24,24200,4267,4612,1306,2542,12727,12565,75
44,61908,19868,10985,4582,8942,44377,19314,65
39,78563,14381,14064,7595,5595,41635,35077,85
36,56390,18092,9891,3224,5752,36959,19996,75
46,128257,31827,15243,6519,12501,66090,63309,90
49,111215,25725,19109,6648,8434,59916,50271,90
31,68314,22587,6638,6838,9007,45070,22910,75
38,62658,16965,9957,7399,8769,43090,17031,65
43,132152,35062,20746,15701,16940,88449,46671,80
47,88458,23154,7348,7481,6151,44134,45542,95
46,96169,21564,16786,10660,5642,54652,40698,85
38,36411,11182,6859,3698,4025,25764,9289,50
34,79159,15876,8872,6734,4409,35891,44156,95
41,127240,42978,22583,11463,14923,91947,33133,60
46,82793,27222,7442,4934,8531,48129,37345,85
25,21638,4706,3288,2502,2516,13012,8280,65
31,37239,11018,5149,2779,4059,23005,17133,70
24,18249,4829,2655,1482,1683,10649,8718,75
39,51384,11177,9821,4985,3601,29584,19365,85
43,138330,48097,25529,10149,11145,94920,41374,70
29,28605,4435,4983,1939,2930,14287,13600,85
40,128915,25851,14547,12140,14849,67387,59523,90
27,21294,5408,4033,1101,2724,13266,6215,55
47,57006,14501,5227,5726,7223,32677,27219,85
27,20757,5558,3786,1784,3056,14184,8494,65
54,115344,34641,13769,10658,9064,68132,48523,90
43,83840,23030,7248,7900,4788,42966,41128,85
42,82430,22260,13215,7162,6970,49607,30479,75
27,32275,5186,3477,2929,4012,15604,16653,90
27,19470,4386,2126,1905,1826,10243,7340,75
25,38559,7573,4500,3960,5081,21114,18851,80
51,125451,25475,10994,12660,13163,62292,60715,100
32,67711,17663,6856,7507,9681,41707,26023,75
51,140270,26637,11308,8873,20309,67127,72447,100
52,130360,27217,17396,10178,7421,62212,67728,100
45,86081,16993,7756,10015,8232,42996,45737,95
30,30282,10286,4903,2354,3360,20903,6430,60
24,22519,7632,2438,1322,1702,13094,7786,75
52,55939,15214,10809,4854,5074,35951,18182,75
45,97562,32673,18005,5625,11489,67792,30789,75
52,85063,26128,9759,5461,6181,47529,37672,85
27,32582,8731,5668,3906,3590,21895,9335,60
23,30552,4622,5389,2685,3658,16354,11869,80
41,94769,28857,18800,6622,5596,59875,32671,75
49,97118,28212,14736,11618,9687,64253,34792,75
32,76971,21016,6914,9056,5873,42859,33391,85
25,37473,11320,5906,3029,4588,24843,12652,70
36,50074,12647,7761,3416,3452,27276,21658,85
27,30504,8871,4776,3315,4246,21208,9435,70
51,94605,31885,11055,9469,8807,61216,36014,75
23,18719,4214,3428,1836,1306,10784,6009,75
36,41205,12016,8040,4636,3865,28557,11364,60
32,35906,8801,3810,3528,3262,19401,14788,80
29,32370,9221,2932,2261,3006,17420,16636,80
47,81433,24639,8415,8026,8840,49920,30499,75
26,19440,3092,3469,1388,1985,9934,9139,75
27,36293,10137,5850,3743,2358,22088,12206,70
47,94254,18412,14734,8801,5330,47277,45023,85
25,28598,8122,3666,1584,3515,16887,10887,75
40,146258,35638,21842,12563,15499,85542,60054,90
41,87853,26769,10273,6503,7546,51091,35617,85
54,88405,15442,12134,6453,11566,45595,40310,85
41,116652,32110,20433,10750,10359,73652,42233,80
33,31125,6402,6154,2258,4033,18847,13852,70
22,26865,8612,5155,2804,2164,18735,10820,65
47,50492,16948,9697,2774,2892,32311,17720,75
35,38438,13425,4930,3698,5506,27559,12487,60
32,50095,15489,6825,5342,4481,32137,18672,75
34,46154,13880,7600,4481,5966,31927,13559,60
24,32087,6196,6117,2721,2500,17534,12153,80
54,143935,31262,13967,16771,16500,78500,67971,90
27,31958,7770,3723,2268,4388,18149,16028,80
31,56819,17311,5494,2917,3077,28799,29304,85
26,22848,7608,3505,1833,3040,15986,4850,55
44,104110,19554,12155,5446,11153,48308,54683,100
31,54217,18134,6459,6331,6004,36928,18772,75
23,21924,6338,1940,1418,2243,11939,12886,75
34,62994,17144,7683,6628,8658,40113,21635,75
23,34614,6575,6351,3607,1881,18414,15664,80
41,75851,12219,8189,4948,5772,31128,43946,95
22,22114,5831,3613,2067,3042,14553,9043,65
30,79416,22260,12353,4238,9945,48796,29114,75
38,39587,7606,7268,3319,2049,20242,17197,80
30,74517,19470,7144,3802,7578,37994,33974,85
32,60129,19319,11864,6883,6190,44256,15197,55
36,30645,9714,4594,3626,2760,20694,8709,60
45,55451,18602,11060,3635,4421,37718,19041,75
51,137178,30614,25979,8857,16210,81660,55871,90
52,91316,19506,9732,9383,6463,45084,47368,95
26,32772,9827,2842,2219,4256,19144,15869,80
35,76443,18057,8460,8611,9960,45088,33050,85
32,56475,9460,8093,5092,5168,27813,29000,95
30,48888,10098,4917,3644,3830,22489,25987,90
33,73732,17232,7380,7984,5779,38375,34139,85
22,24013,5006,3254,2030,2358,12648,14312,75
43,116155,25140,9756,13220,14166,62282,54393,90
50,149186,31143,14116,17150,12813,75222,72743,90
29,18726,2964,2432,1153,2078,8627,10231,85
32,30587,8485,2678,1534,2699,15396,15764,80
35,42763,11522,5457,5083,3440,25502,17479,80
51,84064,23594,11506,9535,4412,49047,35774,85
42,144826,27294,19428,7803,7297,61822,84020,100
26,27178,5683,5008,2943,1976,15610,11405,75
40,74820,20494,10744,6138,6781,44157,30044,85
35,55817,15066,7599,3802,7542,34009,23047,75
47,105745,26570,13671,11791,13730,65762,40919,80
25,27592,6072,4914,1759,2116,14861,14159,75
46,120902,40210,22657,14062,9001,85930,37065,70
46,58711,12796,10708,3780,4270,31554,25576,85
39,73553,17735,11829,6837,6172,42573,32130,85
29,26530,7577,2559,1740,2648,14524,10336,75
35,36450,9426,4127,3214,3421,20188,16179,80
53,126253,27697,10798,12357,9068,59920,64779,100
54,86191,20438,16522,5457,5433,47850,36781,85
44,60211,18598,9591,5205,3086,36480,24475,75
36,63866,13132,10829,5290,4176,33427,30283,85
54,138896,24786,16304,7635,16741,65466,76259,100
46,106746,22697,19372,11451,7938,61458,48078,90
38,41439,13256,4606,3045,4013,24920,17694,70
54,81312,13643,6520,7336,8873,36372,47020,95
23,25693,8949,3215,2210,3563,17937,5620,55
35,36416,9402,5407,3129,5057,22995,16104,70
27,19760,6856,2715,1136,2461,13168,4063,55
27,15011,5070,2753,1195,803,9821,7862,65
24,36636,8813,3394,2991,3938,19136,16002,80
28,31353,5947,4591,3177,4033,17748,15289,80
29,35783,6547,5065,3893,1851,17356,16837,90
36,39122,7746,4450,3448,4106,19750,20142,80
50,68020,19863,12152,3814,9235,45064,21861,75
54,58155,11897,9906,3871,5664,31338,28476,85
51,119119,26001,20005,7331,6004,59341,60779,100
48,131051,31420,24263,7695,6696,70074,61481,90
50,86777,28866,14468,6561,7954,57849,29411,75
54,69710,13097,7516,4604,4566,29783,41489,95
48,74532,11254,12273,4865,8678,37070,35060,95
54,68601,11114,8021,3692,8292,31119,40222,95
25,39596,13104,4318,2028,2684,22134,15453,80
43,54967,15363,4878,3143,7632,31016,22883,85
23,24206,4952,4097,1502,2279,12830,11160,75
31,68547,12711,11332,5495,4406,33944,34644,95
26,36627,7649,3960,3140,4630,19379,19948,80
31,51447,8898,8742,3078,6636,27354,21159,85
54,55722,18851,10595,4442,6348,40236,15884,55
34,71814,22035,6676,5308,9719,43738,27826,75
52,142772,34619,15407,8971,17666,76663,63578,90
45,131050,42328,22282,6615,18113,89338,40436,80
36,63209,12634,7138,5226,5903,30901,33293,95
50,133596,39200,20701,13091,16667,89659,42568,80
29,31524,10126,2828,2075,4727,19756,9542,70
26,19882,4400,2669,1177,2435,10681,9213,75
50,118323,35673,19960,13263,7267,76163,44392,80
25,28645,5987,4651,1983,2916,15537,12611,75
33,58276,12224,10361,3825,6336,32746,24016,85
23,32347,5544,5993,3558,2180,17275,16091,80
48,75242,17908,13000,8065,11007,49980,26489,75
52,105841,31322,16997,8613,7150,64082,39688,80
47,117712,39791,9865,9916,7975,67547,50177,90
48,135663,36732,19562,8850,19198,84342,53345,80
26,21894,7063,1850,1214,2113,12240,11970,75
41,103574,32573,18329,9336,5833,66071,36008,80
32,59516,10990,7051,3385,6535,27961,33284,95
31,40449,9997,5965,3294,4456,23712,16681,80
27,36923,6401,4191,4276,2084,16952,19790,90
29,24873,7124,4325,2902,3662,18013,9018,55
44,53696,18255,10007,3584,5606,37452,14428,65
47,70058,12429,8956,6563,7424,35372,31974,85
33,47761,14174,8766,3973,4872,31785,14787,70
47,69149,19116,7748,7696,7680,42240,24436,75
34,36701,9788,5290,2532,2805,20415,14202,80
39,32597,7432,5966,1638,2566,17602,13703,80
46,54956,12146,6545,3373,5557,27621,27909,85
54,125731,19997,24452,9362,16429,70240,55810,90
33,50980,9868,4824,3675,2803,21170,28216,95
25,26371,4035,2167,2779,2909,11890,12722,85
26,30945,8240,5833,3021,4043,21137,12014,70
29,22052,3774,1945,1565,1448,8732,13453,85
49,101313,32886,20163,8311,5217,66577,32534,80
52,113232,28832,21985,6419,9202,66438,45317,90
30,42109,12208,4061,4752,4582,25603,17613,70
50,74729,17349,10799,8629,4769,41546,35111,85
35,38787,10166,3963,4599,3592,22320,16355,80
43,148134,50148,19461,16413,15588,101610,46214,80
32,38472,6407,3361,2392,4227,16387,23176,90
44,62602,12569,6690,3332,4847,27438,33405,95
22,39611,12120,4895,3587,3565,24167,18212,70
42,136120,23106,18054,15501,17400,74061,59749,90
47,84681,13983,16707,5285,12204,48179,34029,85
44,141328,31418,25007,7136,19247,82808,57015,90
22,16798,2829,2830,1787,1787,9233,8390,75
36,34088,9102,4923,1887,3103,19015,14966,80
42,93361,18229,16879,7371,7776,50255,40998,85
30,49330,16236,5955,4810,3082,30083,16633,70
30,72409,22207,11952,4820,4391,43370,27288,85
31,51778,15012,10316,2893,6153,34374,16932,75
47,134700,36825,15861,13995,10234,76915,60658,90
46,113043,36478,18186,10638,8530,73832,40714,80
47,128532,25013,23305,15320,19256,82894,46166,80
32,78454,25467,14898,5813,5397,51575,29651,75
23,16300,5018,2708,885,1056,9667,4530,65
28,38253,11461,4362,3879,2290,21992,13971,80
39,78200,20508,9317,6765,8444,45034,33861,85
48,72626,14470,5990,4715,8191,33366,38946,95
48,109979,25813,18840,11517,9515,65685,47072,90
38,43686,13486,3718,2807,4523,24534,21165,80
45,116668,18241,21438,7962,15031,62672,55508,90
46,149003,45656,14041,8415,19640,87752,58666,90
28,24852,4921,2500,1937,3623,12981,10342,75
27,21295,3808,2921,1689,2820,11238,12688,75
45,92998,16101,15674,7999,9902,49676,44502,85
54,113814,17692,11003,11339,7735,47769,67307,100
50,95607,24352,12697,10844,5734,53627,41411,85
43,57812,11195,7974,3447,3205,25821,31506,95
47,111844,38909,11796,6017,13046,69768,40171,80
49,120093,31811,11272,6160,15702,64945,52957,90
42,52179,9265,9411,3133,5263,27072,25151,85
28,38058,10951,5339,3655,2111,22056,18642,80
38,76733,25287,6271,7744,7945,47247,32398,75
41,58275,17426,10277,6122,8366,42191,14076,55
41,100574,16623,19883,6744,11039,54289,44566,90
43,97857,32212,14943,6988,12813,66956,32271,75
49,70700,21831,9929,5926,9192,46878,22595,75
28,20010,3635,3710,1089,2865,11299,9272,75
22,31035,4976,6030,2879,3942,17827,14024,80
53,143330,37475,24444,17036,17883,96838,45248,80
34,38259,6932,5105,2879,2808,17724,19908,90
51,132534,42002,20021,13611,7420,83054,49056,80
44,63869,14157,10481,5429,6499,36566,25194,85
40,110315,36688,11396,6502,6888,61474,50025,90
53,143688,37809,19205,13040,21010,91064,50331,80
51,70954,13235,12741,5037,5604,36617,33734,85
50,81555,14510,12931,4274,11033,42748,40289,85
50,113353,30071,14661,10705,10061,65498,46989,90
51,132190,39971,21097,14557,10881,86506,45038,80
37,39277,12030,3699,2911,5636,24276,17970,70
40,96976,19894,12430,7498,8372,48194,51055,95
39,39885,7612,6986,4481,3550,22629,18791,80
22,22622,3469,2408,2419,1371,9667,10931,85
35,59165,16911,6053,5919,6924,35807,21092,75
23,24160,3993,4689,1628,1905,12215,11413,75
49,80908,18944,8510,9200,8783,45437,35011,85
51,65523,17713,7293,3984,7150,36140,27015,85
25,22421,7565,4402,2104,2733,16804,7705,55
22,36400,7729,6121,1893,4532,20275,17393,80
29,15769,3153,2585,1499,1599,8836,8032,75
50,60775,17067,11082,4217,5050,37416,23260,75
24,29114,7972,2733,2372,3893,16970,10807,75
53,134995,29215,22235,10012,10932,72394,61616,90
31,32044,10754,4500,1989,3228,20471,14164,70
31,37368,11919,6707,3495,3367,25488,12061,70
40,77056,15010,10863,8610,10441,44924,34288,85
54,56614,11199,8742,6631,5275,31847,25830,85
44,57415,14494,7884,3643,5087,31108,25937,85
49,138691,42261,19053,13899,16501,91714,47849,80
53,93884,14909,16162,9060,10350,50481,41457,85
28,25793,7445,4008,1909,1566,14928,8245,75
50,87726,24532,13684,4503,8844,51563,38550,85
29,36485,7161,4890,3585,4507,20143,16424,80
22,27323,7821,3927,3174,4076,18998,7716,55
24,28031,9475,4750,2641,3165,20031,6592,45
45,99976,15931,17906,8045,8700,50582,50655,85
44,82252,17596,13455,7136,5972,44159,37840,85
29,22843,5428,4360,1461,3135,14384,7848,65
24,29210,9634,5212,2995,3839,21680,8083,45
54,130437,44668,19229,13337,9573,86807,45768,80
49,84148,20096,13511,5064,5895,44566,42329,85
29,25106,7531,4799,2798,3050,18178,6955,45
53,138454,35490,21363,9531,11283,77667,58994,90
45,135076,34789,24175,16041,10892,85897,50032,80
35,75714,15568,12315,5815,4938,38636,34622,85
53,103459,20008,15129,6461,7904,49502,54038,100
37,53132,11030,5792,3964,4928,25714,28081,95
25,18713,4889,2453,1512,2307,11161,6791,75
42,88578,13803,17372,4858,7407,43440,44505,95
35,44868,14871,7130,4059,3717,29777,15864,70
52,72318,13108,10683,6641,5676,36108,35837,95
39,72533,14072,13923,7378,7095,42468,30996,85
28,19255,4884,2895,1002,1310,10091,8638,75
31,42466,12401,6078,3732,4185,26396,16200,70
28,38781,6559,6636,2082,4669,19946,19342,80
54,145742,31121,24123,14440,7721,77405,65433,90
44,95475,32818,9851,5146,4867,52682,43651,85
42,110142,22300,15040,12536,6334,56210,53640,90
40,135160,28736,18476,13400,13997,74609,62948,90
40,76564,24293,9600,6547,10370,50810,26090,75
50,72412,11589,10287,5858,3655,31389,38479,95
39,60795,14768,7877,3595,8734,34974,28735,85
23,20249,4574,2104,1424,1227,9329,12288,85
22,36675,7823,4748,4064,4921,21556,15106,80
26,34201,7084,3032,3875,3361,17352,17937,80
41,85517,14390,12750,4280,9914,41334,45067,95
32,30193,6430,5508,2765,3051,17754,10470,80
23,29109,4616,4862,2921,2844,15243,11073,75
24,35595,10898,4386,3321,4751,23356,11176,70
44,80106,18395,7245,4463,10060,40163,42699,85
33,72752,17371,7584,4746,7154,36855,34043,85
41,66589,21889,9685,4496,4072,40142,28599,75
26,25060,7057,2627,2712,1542,13938,13754,75
51,136511,20696,19831,11251,17767,69545,68265,90
30,70197,23771,7566,5902,7226,44465,28660,75
43,146117,28847,26574,16868,14342,86631,59050,90
45,135731,23280,17329,12839,16023,69471,63702,90
38,56512,17158,6186,6380,7679,37403,20893,75
31,36716,9182,6516,3009,4144,22851,11697,70
51,78884,18676,9556,4769,9961,42962,34383,85
44,140421,28070,13112,16161,17767,75110,65827,90
53,52708,13677,7824,4327,4513,30341,20526,85
38,34378,7043,5149,2155,2661,17008,14756,90
38,70583,23314,11700,5023,9184,49221,20403,65
35,76546,14776,8330,4099,6714,33919,42180,95
30,49835,16289,6640,4125,6993,34047,18232,70
23,25754,6744,2932,2825,1467,13968,10504,75
46,114425,36123,10265,13198,6387,65973,50227,90
30,75496,22087,13981,8703,10773,55544,21002,55
43,97135,28104,16266,5708,11155,61233,36311,75
25,22446,4822,2607,1722,1974,11125,9010,85
47,147022,28930,22336,7641,18452,77359,72327,90
50,128077,24613,13339,14070,15014,67036,59210,90
44,58712,18872,10969,4410,6054,40305,20395,75
32,38333,12039,3595,3610,2295,21539,14746,80
27,23555,5608,1895,2356,3090,12949,12956,75
39,47839,8442,6708,3831,6534,25515,24203,80
42,62297,14107,9343,4451,4187,32088,33176,85
38,35808,9806,5352,4202,4835,24195,13203,70
46,118368,28512,10243,13909,16309,68973,49891,90
33,51180,15663,6023,3595,5370,30651,21446,85
44,137599,48094,19250,11499,15908,94751,44690,80
43,138499,26069,14679,16356,12218,69322,68661,90
42,128958,31198,23820,6491,10081,71590,56222,90
48,82920,19585,7500,6541,10132,43758,39601,85
52,61156,12897,8469,3487,8328,33181,28206,85
27,26023,4934,4240,2228,3003,14405,11215,75
48,81845,13352,9118,4233,8279,34982,47846,95
33,67465,22089,10450,5294,4445,42278,24378,75
28,34169,7994,6134,2236,1891,18255,15549,80
31,46724,11651,4805,4080,4418,24954,19426,80
38,33828,11277,6429,4049,1858,23613,11027,70
47,83872,25602,12281,8893,8968,55744,31106,75
42,60728,10694,7038,6631,5360,29723,31345,95
49,145102,38174,19110,13707,18242,89233,56780,80
23,33792,8057,3969,1787,2722,16535,16053,90
22,31724,9816,5298,2045,3467,20626,12461,70
47,135774,40032,23835,15580,14089,93536,41000,80
50,57263,16496,10304,4330,2890,34020,24715,85
42,117450,25616,23289,6724,6722,62351,55384,90
32,34912,10857,6107,3462,2759,23185,10312,60
32,34648,5560,5272,2458,4789,18079,19128,80
45,141118,25672,17033,9711,9130,61546,80135,100
43,115942,25173,16852,13896,14039,69960,45422,80
26,33073,5469,2808,3640,4872,16789,17868,80
54,82934,16337,14047,6514,10703,47601,37150,85
41,83276,26317,11118,9878,6186,53499,31818,75
40,69873,23732,5757,6673,9840,46002,23971,75
38,52054,10979,4554,5306,3087,23926,30859,95
30,34492,6998,4363,1800,3339,16500,18236,90
47,134444,27692,20168,7866,18654,74380,58104,90
23,19437,3995,2637,1833,2218,10683,8881,75
30,64285,10104,9919,7259,5873,33155,30403,85
30,46018,15433,6333,4310,3648,29724,16923,70
38,51386,9904,8191,3051,4496,25642,24858,95
22,15560,3641,1653,904,1569,7767,6470,85
46,92291,14022,8633,10068,7559,40282,52103,95
46,85060,27354,12892,5082,12495,57823,25235,65
24,16826,4984,2324,1454,2411,11173,8526,65
51,86176,29243,7171,4532,11811,52757,32703,75
33,42743,13093,5370,2378,3940,24781,20014,80
40,75675,16099,7017,7345,9015,39476,34788,85
